Hire_ID,Application_Date,Gender,Race,Applied_Department,Outcome,Hire_Date
409,2024-08-27,Female,Black,Risk,Hired,2025-05-26
417,2022-12-09,Female,Asian,Finance,Hired,2024-08-12
423,2023-09-10,Male,Black,Risk,Hired,2024-11-17
448,2024-02-20,Male,Other,Retail Banking,Hired,2023-06-30
461,2022-11-10,Other,Asian,HR,Hired,2023-08-31
469,2024-07-23,Male,White,HR,Hired,2024-02-28
484,2024-10-11,Male,Asian,HR,Hired,2023-01-23
518,2024-01-02,Female,Other,Legal,Hired,2023-07-25
522,2024-10-14,Male,Hispanic,Operations,Hired,2023-07-05
531,2023-06-11,Female,Asian,Legal,Hired,2024-04-16
544,2024-02-07,Female,Asian,Compliance,Hired,2024-10-07
560,2024-10-08,Male,Black,Compliance,Hired,2024-06-16
585,2025-05-04,Male,White,Finance,Hired,2023-09-01
595,2025-03-05,Male,Black,Operations,Hired,2024-01-12
596,2023-11-28,Female,Asian,Compliance,Hired,2024-04-29
600,2023-11-01,Female,Black,Risk,Hired,2023-11-30
615,2024-05-29,Male,Asian,Retail Banking,Hired,2022-12-28
625,2023-06-02,Male,Asian,Operations,Hired,2025-01-30
645,2023-07-25,Male,Asian,Retail Banking,Hired,2024-01-31
656,2025-08-16,Female,Hispanic,Risk,Hired,2023-03-30
666,2024-01-11,Female,Asian,Finance,Hired,2023-03-21
667,2024-11-28,Male,Black,IT,Hired,2023-02-11
695,2025-04-18,Male,Hispanic,Compliance,Hired,2023-08-29
706,2025-09-02,Female,Black,Risk,Hired,2023-08-05
709,2024-02-25,Female,Black,IT,Hired,2023-12-09
710,2023-07-07,Male,Asian,Risk,Hired,2023-12-03
719,2024-01-17,Female,White,Legal,Hired,2022-10-08
755,2024-03-27,Female,Hispanic,Operations,Hired,2024-12-01
762,2024-11-16,Male,Black,Compliance,Hired,2025-08-09
768,2024-04-02,Male,Asian,Finance,Hired,2023-12-25
772,2023-05-02,Male,Other,IT,Hired,2025-07-31
777,2023-02-03,Male,White,Compliance,Hired,2023-03-23
779,2023-05-05,Female,Other,Retail Banking,Hired,2022-12-04
792,2025-07-03,Female,Black,Compliance,Hired,2023-12-24
797,2023-09-21,Female,Asian,Operations,Hired,2024-11-10
812,2023-02-26,Female,White,Risk,Hired,2023-03-24
821,2025-05-20,Male,Other,IT,Hired,2025-08-16
833,2025-08-09,Male,Other,IT,Hired,2024-12-23
877,2023-08-04,Male,Hispanic,Finance,Hired,2023-04-18
881,2024-10-28,Female,Black,Legal,Hired,2024-08-25
906,2024-10-25,Female,Other,Risk,Hired,2025-06-11
914,2025-02-26,Male,Black,Legal,Hired,2024-08-28
915,2024-12-21,Female,Other,Risk,Hired,2024-10-24
919,2023-02-26,Male,White,Legal,Hired,2023-10-30
927,2023-03-30,Male,Asian,Legal,Hired,2025-08-12
928,2023-03-14,Female,Black,HR,Hired,2023-02-15
931,2025-07-04,Male,Black,HR,Hired,2023-08-30
949,2024-05-27,Female,Black,Finance,Hired,2024-04-18
950,2025-06-03,Female,Other,Retail Banking,Hired,2024-05-05
954,2023-03-08,Female,Black,Finance,Hired,2023-03-02
975,2025-05-10,Male,Black,HR,Hired,2025-04-24
980,2024-05-19,Female,Other,HR,Hired,2022-10-02
997,2024-11-08,Male,Hispanic,IT,Hired,2023-10-31
998,2024-02-14,Male,White,Compliance,Hired,2023-07-21
1015,2024-09-08,Male,Black,IT,Hired,2023-07-11
1041,2022-12-08,Female,White,Retail Banking,Hired,2024-11-24
1042,2024-10-10,Female,Black,Risk,Hired,2025-03-02
1051,2025-06-14,Female,Hispanic,IT,Hired,2023-02-14
1059,2022-11-19,Female,Hispanic,Risk,Hired,2024-04-08
1060,2025-06-06,Male,Black,Legal,Hired,2024-05-12
1062,2025-07-23,Female,Other,IT,Hired,2024-08-03
1073,2025-04-02,Male,Other,IT,Hired,2025-03-15
1074,2024-09-08,Female,White,Operations,Hired,2024-05-28
1092,2025-05-03,Female,Hispanic,Risk,Hired,2023-10-05
1094,2024-07-12,Female,Asian,Legal,Hired,2023-08-12
1105,2024-07-08,Female,Other,Compliance,Hired,2024-05-22
1124,2023-07-27,Male,Black,Legal,Hired,2024-12-25
1128,2023-02-05,Female,Other,Operations,Hired,2023-11-04
1136,2023-09-12,Female,White,IT,Hired,2024-03-20
1146,2023-03-10,Female,Black,Operations,Hired,2023-06-19
1165,2023-08-01,Female,White,Legal,Hired,2023-09-24
1173,2023-05-31,Female,Other,Operations,Hired,2024-05-16
1182,2023-06-15,Male,Black,Risk,Hired,2023-04-14
1187,2024-07-11,Male,Asian,IT,Hired,2023-07-01
1190,2023-02-18,Female,Other,Retail Banking,Hired,2025-08-02
1222,2023-06-09,Male,White,Risk,Hired,2025-05-18
1227,2024-06-03,Female,Black,Risk,Hired,2023-02-17
1230,2023-03-31,Female,Asian,Retail Banking,Hired,2025-06-12
1235,2023-07-06,Male,Black,Finance,Hired,2023-05-18
1251,2025-04-30,Female,Black,Compliance,Hired,2023-11-09
1252,2025-05-02,Female,Asian,Operations,Hired,2023-02-13
1267,2024-07-13,Female,Black,Finance,Hired,2024-04-20
1291,2024-08-04,Female,White,Retail Banking,Hired,2023-03-03
1301,2024-08-03,Male,Black,Compliance,Hired,2023-04-28
1317,2023-06-02,Female,Asian,Legal,Hired,2025-05-18
1329,2023-08-07,Female,Hispanic,HR,Hired,2023-05-19
1330,2024-02-19,Female,Black,Legal,Hired,2023-02-24
1339,2025-05-05,Female,Asian,IT,Hired,2023-06-09
1352,2022-12-02,Male,Black,Finance,Hired,2024-05-11
1369,2024-02-29,Male,Hispanic,Legal,Hired,2023-12-18
1370,2025-05-30,Female,Asian,Risk,Hired,2023-04-17
1372,2024-07-10,Male,Asian,HR,Hired,2025-03-10
1377,2024-07-03,Female,Asian,Finance,Hired,2024-07-27
1410,2024-08-27,Female,Other,Retail Banking,Hired,2023-10-18
1411,2024-03-28,Male,Hispanic,Retail Banking,Hired,2025-04-18
1420,2024-02-26,Female,Asian,Risk,Hired,2023-06-28
1468,2025-09-15,Female,Asian,Operations,Hired,2024-06-11
1472,2023-02-10,Female,Asian,Legal,Hired,2023-01-23
1509,2022-12-26,Female,Asian,Retail Banking,Hired,2024-12-19
1513,2025-04-21,Female,Other,Retail Banking,Hired,2023-05-11
1521,2024-04-17,Other,Black,Compliance,Hired,2022-12-05
1531,2024-09-25,Male,Other,Operations,Hired,2025-06-08
1543,2024-05-18,Female,White,IT,Hired,2024-10-02
1545,2023-03-27,Male,White,Finance,Hired,2025-05-06
1547,2024-03-11,Female,Hispanic,Finance,Hired,2023-09-15
1555,2024-06-06,Female,Hispanic,IT,Hired,2024-02-04
1557,2022-11-06,Female,Black,IT,Hired,2023-07-29
1575,2024-05-02,Female,Hispanic,Operations,Hired,2023-05-10
1579,2022-11-06,Female,White,Risk,Hired,2023-03-25
1593,2024-03-27,Male,Asian,Risk,Hired,2024-12-17
1598,2025-05-09,Female,Asian,Risk,Hired,2023-08-30
1609,2023-03-26,Other,Asian,IT,Hired,2023-11-27
1627,2024-10-22,Female,Hispanic,HR,Hired,2024-12-18
1635,2024-06-13,Female,Other,IT,Hired,2024-02-29
1645,2024-05-28,Female,Black,HR,Hired,2024-02-08
1648,2023-01-17,Female,Asian,Finance,Hired,2024-04-11
1652,2023-07-11,Female,Black,IT,Hired,2023-08-02
1665,2025-01-23,Female,Asian,Risk,Hired,2023-08-23
1673,2025-09-12,Male,Black,Finance,Hired,2022-10-08
1677,2022-12-19,Female,Other,HR,Hired,2023-08-10
1686,2023-03-11,Male,Hispanic,HR,Hired,2023-09-19
1706,2023-04-30,Male,White,Legal,Hired,2025-01-05
1713,2023-03-13,Female,Asian,Finance,Hired,2025-05-05
1718,2023-09-30,Female,White,Risk,Hired,2022-11-17
1722,2024-03-28,Female,White,Retail Banking,Hired,2023-10-16
1734,2023-09-30,Female,Other,IT,Hired,2024-12-23
1747,2022-10-06,Female,Asian,Compliance,Hired,2022-11-28
1749,2024-10-11,Female,Black,HR,Hired,2022-10-16
1759,2024-09-04,Female,Other,Compliance,Hired,2022-11-26
1776,2022-11-22,Female,Hispanic,Legal,Hired,2023-10-01
1785,2023-11-16,Female,Hispanic,Risk,Hired,2022-11-05
1789,2025-01-08,Male,White,Finance,Hired,2023-10-21
1809,2024-01-02,Female,Asian,Risk,Hired,2024-11-22
1829,2025-02-05,Female,Asian,Retail Banking,Hired,2024-09-07
1852,2024-07-12,Male,Hispanic,Legal,Hired,2025-04-12
1866,2025-05-21,Female,White,Finance,Hired,2023-12-21
1867,2025-07-22,Female,Asian,Finance,Hired,2024-03-09
1879,2024-07-18,Male,Hispanic,Legal,Hired,2024-07-16
1880,2025-05-21,Female,Hispanic,Compliance,Hired,2025-01-17
1888,2023-02-17,Male,Asian,Finance,Hired,2025-06-09
1900,2023-07-23,Male,White,IT,Hired,2025-01-05
1901,2025-06-02,Male,Hispanic,Legal,Hired,2024-01-24
1916,2023-05-27,Male,White,Legal,Hired,2024-07-04
1933,2025-07-08,Male,Black,HR,Hired,2024-04-25
1947,2025-05-10,Female,White,Operations,Hired,2022-11-01
1949,2024-01-03,Female,Asian,Finance,Hired,2023-06-17
1957,2025-02-04,Male,Other,Operations,Hired,2023-06-07
1963,2025-07-11,Male,White,Risk,Hired,2023-07-03
1968,2024-02-02,Female,Other,Risk,Hired,2024-10-16
1972,2024-03-13,Male,White,Operations,Hired,2023-04-11
1987,2025-03-23,Female,Black,Retail Banking,Hired,2023-01-11
2001,2025-09-01,Female,Hispanic,HR,Hired,2025-04-07
2029,2024-05-28,Female,White,IT,Hired,2024-05-15
2032,2025-09-02,Female,Black,Compliance,Hired,2024-04-01
2036,2024-12-08,Female,Other,Risk,Hired,2023-08-05
2045,2024-07-16,Female,Asian,Risk,Hired,2023-05-25
2049,2023-04-28,Male,Asian,Finance,Hired,2022-12-20
2052,2024-08-28,Female,Other,Finance,Hired,2024-06-30
2058,2024-03-30,Male,Black,Legal,Hired,2024-04-02
2063,2025-03-18,Male,Black,Risk,Hired,2023-07-12
2075,2025-07-22,Female,Other,HR,Hired,2025-04-26
2079,2025-06-08,Female,White,Legal,Hired,2025-02-10
2088,2024-12-31,Male,Other,Legal,Hired,2022-12-28
2102,2024-10-28,Female,Asian,HR,Hired,2024-12-06
2139,2024-04-24,Female,Asian,Operations,Hired,2023-12-20
2148,2024-02-28,Male,White,HR,Hired,2023-12-03
2152,2023-02-13,Male,Asian,Operations,Hired,2024-06-11
2164,2025-04-25,Female,Hispanic,Operations,Hired,2022-11-13
2166,2022-12-25,Male,Black,Risk,Hired,2023-11-21
2174,2023-09-02,Male,Asian,Compliance,Hired,2025-05-30
2180,2024-04-14,Female,White,Operations,Hired,2024-01-02
2190,2023-06-06,Male,Hispanic,IT,Hired,2025-07-05
2209,2023-05-05,Female,Other,Operations,Hired,2023-10-29
2215,2023-12-31,Female,Other,Operations,Hired,2025-01-23
2216,2025-05-16,Male,Black,Legal,Hired,2022-09-19
2225,2023-06-30,Female,Asian,Retail Banking,Hired,2024-09-01
2250,2022-12-04,Male,Asian,HR,Hired,2024-10-03
2252,2024-01-16,Male,Hispanic,Operations,Hired,2024-09-16
2254,2023-06-22,Female,Other,HR,Hired,2025-04-20
2280,2024-05-13,Male,White,Operations,Hired,2024-12-20
2293,2024-02-20,Female,Asian,Retail Banking,Hired,2025-08-31
2305,2025-06-16,Female,Hispanic,Retail Banking,Hired,2023-11-16
2307,2024-06-28,Male,Hispanic,Operations,Hired,2024-04-10
2324,2024-08-06,Male,Other,IT,Hired,2022-11-07
2327,2023-05-20,Male,Hispanic,Compliance,Hired,2024-12-20
2351,2025-04-18,Male,Hispanic,IT,Hired,2024-02-11
2356,2025-08-06,Female,Black,IT,Hired,2024-07-18
2365,2025-04-17,Male,White,IT,Hired,2024-04-28
2370,2023-11-13,Male,Other,Operations,Hired,2023-12-02
2374,2025-05-23,Female,Other,Retail Banking,Hired,2024-08-25
2389,2024-11-23,Male,Asian,Legal,Hired,2025-01-19
2414,2023-02-26,Male,White,Operations,Hired,2023-08-11
2432,2024-01-08,Male,Hispanic,IT,Hired,2025-03-17
2436,2023-04-25,Male,Asian,Risk,Hired,2024-03-29
2465,2024-11-16,Male,Asian,Risk,Hired,2023-01-03
2473,2025-08-17,Female,Asian,Finance,Hired,2025-05-31
2476,2024-01-14,Male,Hispanic,Compliance,Hired,2024-06-27
2492,2023-03-19,Male,Asian,Retail Banking,Hired,2024-06-07
2513,2022-11-11,Female,Asian,Operations,Hired,2023-07-12
2533,2025-01-02,Female,Asian,HR,Hired,2023-01-27
2534,2022-10-13,Male,White,Compliance,Hired,2024-07-15
2538,2023-04-17,Male,Black,HR,Hired,2024-07-20
2552,2024-07-01,Female,Hispanic,HR,Hired,2023-12-26
2559,2023-10-27,Female,Black,Compliance,Hired,2024-02-28
2565,2023-06-03,Male,White,Risk,Hired,2022-10-20
2572,2025-01-06,Male,Black,Retail Banking,Hired,2024-11-27
2576,2022-12-07,Male,Other,Retail Banking,Hired,2024-03-11
2595,2025-02-17,Male,Other,Finance,Hired,2023-07-26
2610,2025-02-20,Female,Asian,Operations,Hired,2024-10-16
2618,2024-03-27,Female,Asian,Legal,Hired,2024-05-25
2620,2024-07-10,Male,Other,Finance,Hired,2023-01-25
2629,2024-03-24,Male,Black,Compliance,Hired,2025-05-19
2641,2023-05-08,Female,Hispanic,Finance,Hired,2024-02-22
2658,2022-12-23,Female,Asian,Finance,Hired,2024-10-15
2661,2025-01-13,Female,Asian,Finance,Hired,2023-12-18
2665,2023-06-15,Female,Other,Risk,Hired,2023-06-15
2668,2024-07-11,Male,Black,Operations,Hired,2023-09-07
2681,2023-02-17,Female,White,Compliance,Hired,2024-07-19
2682,2023-10-09,Female,Black,Retail Banking,Hired,2024-07-03
2693,2024-01-26,Male,Black,Legal,Hired,2023-05-21
2701,2023-10-16,Female,Asian,HR,Hired,2024-02-23
2705,2023-10-31,Female,Hispanic,Retail Banking,Hired,2023-12-02
2725,2024-03-08,Male,White,Finance,Hired,2024-03-07
2736,2024-12-30,Female,Asian,Legal,Hired,2023-08-16
2738,2024-09-06,Female,Black,Risk,Hired,2023-04-07
2739,2024-06-29,Male,Hispanic,Finance,Hired,2025-04-27
2740,2023-06-11,Male,Asian,Finance,Hired,2024-05-15
2746,2024-06-08,Male,Asian,IT,Hired,2023-02-16
2753,2022-10-14,Female,Asian,Operations,Hired,2024-09-30
2755,2024-12-23,Male,White,Operations,Hired,2025-05-20
2786,2024-07-08,Male,Asian,Compliance,Hired,2023-01-27
2824,2025-08-30,Female,Asian,IT,Hired,2024-03-27
2826,2024-09-21,Female,White,Risk,Hired,2024-12-28
2840,2023-02-16,Male,Asian,Risk,Hired,2025-09-03
2860,2024-07-29,Female,Hispanic,Risk,Hired,2023-10-27
2876,2023-11-22,Male,Other,HR,Hired,2024-03-22
2884,2023-06-21,Male,White,IT,Hired,2024-11-02
2886,2024-01-29,Female,Other,IT,Hired,2025-05-30
2891,2024-04-07,Female,Other,Compliance,Hired,2023-07-05
2897,2024-11-04,Female,Asian,HR,Hired,2024-10-31
2901,2022-11-10,Female,Other,Operations,Hired,2023-06-07
2904,2025-02-06,Female,Black,HR,Hired,2024-03-29
2909,2022-11-14,Female,Other,Retail Banking,Hired,2023-10-20
2916,2025-04-14,Male,White,HR,Hired,2024-02-28
2922,2023-07-26,Female,Hispanic,Finance,Hired,2023-08-02
2934,2023-08-07,Female,Other,Risk,Hired,2024-05-22
2974,2025-09-11,Male,Hispanic,Retail Banking,Hired,2025-04-04
2975,2023-03-17,Female,Other,Legal,Hired,2025-01-20
2981,2024-09-30,Female,Black,Legal,Hired,2025-05-11
2989,2025-05-18,Male,White,Compliance,Hired,2023-03-31
2990,2024-08-24,Female,Hispanic,Risk,Hired,2023-05-14
3000,2023-12-25,Female,Hispanic,Legal,Hired,2022-11-29
3003,2023-06-08,Female,Black,Finance,Hired,2024-09-24
3011,2022-10-26,Male,Other,Operations,Hired,2025-01-17
3019,2023-07-11,Male,Other,IT,Hired,2022-10-06
3023,2024-11-27,Female,Asian,IT,Hired,2024-05-23
3024,2024-06-16,Male,Black,Risk,Hired,2025-01-22
3026,2022-11-21,Male,Black,Legal,Hired,2025-03-12
3052,2024-03-03,Female,Black,HR,Hired,2024-12-30
3056,2024-11-05,Female,Other,Legal,Hired,2023-09-30
3058,2024-10-12,Female,Asian,Finance,Hired,2022-10-04
3061,2025-09-12,Female,Black,HR,Hired,2024-05-19
3074,2025-03-26,Male,Asian,Risk,Hired,2024-09-05
3081,2023-12-23,Male,Black,Operations,Hired,2025-05-03
3094,2023-05-20,Female,Hispanic,HR,Hired,2024-09-02
3098,2024-09-01,Female,Asian,HR,Hired,2023-04-18
3103,2024-02-07,Female,Asian,IT,Hired,2022-09-17
3106,2024-11-29,Male,Other,Risk,Hired,2025-08-09
3117,2023-04-24,Male,Asian,Compliance,Hired,2024-05-11
3122,2024-07-02,Male,Other,Legal,Hired,2023-03-23
3123,2023-04-20,Female,Other,HR,Hired,2023-07-27
3137,2023-11-14,Male,Black,Legal,Hired,2023-08-02
3147,2022-12-14,Male,Black,Compliance,Hired,2025-04-26
3153,2024-03-27,Male,Hispanic,Finance,Hired,2023-04-02
3161,2023-09-10,Male,Asian,Legal,Hired,2025-08-21
3166,2025-03-27,Male,Hispanic,Operations,Hired,2023-11-18
3174,2023-06-15,Male,Hispanic,Compliance,Hired,2023-04-10
3186,2023-10-22,Male,White,Retail Banking,Hired,2023-09-03
3187,2022-12-03,Male,Hispanic,Retail Banking,Hired,2025-08-02
3188,2025-03-25,Male,Hispanic,HR,Hired,2024-05-25
3205,2025-06-11,Male,Other,Compliance,Hired,2022-09-16
3208,2025-09-02,Female,Black,HR,Hired,2022-12-23
3209,2025-05-17,Male,Hispanic,Finance,Hired,2023-03-17
3229,2024-08-20,Male,White,Operations,Hired,2024-01-16
3231,2025-06-05,Female,Black,Risk,Hired,2023-06-09
3240,2023-05-03,Male,Other,HR,Hired,2022-11-19
3248,2023-11-06,Male,Black,IT,Hired,2024-02-11
3254,2025-01-28,Female,Other,Legal,Hired,2025-07-26
3273,2024-11-14,Male,Black,Retail Banking,Hired,2023-11-25
3276,2024-09-28,Female,Asian,Finance,Hired,2023-03-11
3306,2022-12-18,Male,Black,Legal,Hired,2024-03-06
3325,2024-08-02,Male,Other,Operations,Hired,2023-06-15
3326,2022-12-21,Male,Hispanic,Finance,Hired,2024-02-28
3367,2024-07-21,Male,White,Risk,Hired,2025-02-15
3376,2023-01-11,Male,White,IT,Hired,2022-12-06
3385,2023-01-14,Male,Asian,Risk,Hired,2024-08-28
3389,2023-03-27,Female,Hispanic,Retail Banking,Hired,2023-08-20
3396,2024-04-03,Female,White,Legal,Hired,2023-04-06
3401,2024-04-29,Female,White,Risk,Hired,2025-03-26
3409,2025-03-26,Male,White,Finance,Hired,2023-11-10
3419,2025-07-31,Female,Asian,IT,Hired,2025-07-10
3449,2023-11-05,Male,White,Legal,Hired,2025-07-22
3455,2023-10-07,Male,White,Retail Banking,Hired,2025-07-24
3459,2025-03-30,Male,Other,Retail Banking,Hired,2024-01-30
3461,2025-03-07,Male,Black,IT,Hired,2025-02-10
3473,2023-11-22,Female,Black,Finance,Hired,2025-03-05
3475,2025-06-04,Female,Black,Compliance,Hired,2024-12-03
3476,2024-04-28,Female,Black,Retail Banking,Hired,2024-03-16
3479,2023-04-02,Female,Hispanic,Compliance,Hired,2025-02-09
3486,2023-12-05,Female,Asian,Risk,Hired,2025-04-07
3491,2024-07-06,Male,White,Risk,Hired,2024-05-03
3515,2025-04-29,Male,Black,Risk,Hired,2024-07-01
3537,2024-01-15,Female,Asian,Legal,Hired,2023-07-16
3539,2025-09-01,Female,Asian,Operations,Hired,2025-07-14
3553,2022-10-05,Male,Hispanic,Operations,Hired,2022-10-07
3555,2024-10-01,Female,Other,Finance,Hired,2023-01-02
3568,2024-10-28,Female,White,IT,Hired,2025-04-08
3572,2023-08-07,Female,Hispanic,Retail Banking,Hired,2023-07-04
3589,2024-10-17,Female,White,Finance,Hired,2023-06-04
3595,2024-10-15,Female,Black,IT,Hired,2025-08-17
3603,2025-01-24,Female,Asian,Compliance,Hired,2025-07-18
3604,2024-01-17,Male,Other,Operations,Hired,2025-07-02
3607,2024-08-27,Male,Hispanic,Finance,Hired,2024-12-23
3608,2025-08-09,Female,White,HR,Hired,2023-03-07
3614,2024-02-29,Female,White,HR,Hired,2023-06-01
3618,2025-06-10,Female,Other,HR,Hired,2022-11-09
3631,2022-12-31,Female,Asian,HR,Hired,2022-11-02
3632,2023-06-19,Female,Hispanic,Finance,Hired,2024-05-09
3645,2024-02-19,Female,Other,Finance,Hired,2023-08-22
3651,2023-05-23,Male,Other,Operations,Hired,2023-10-31
3655,2025-02-06,Male,Asian,Finance,Hired,2025-07-20
3665,2023-04-12,Male,Other,HR,Hired,2024-03-30
3685,2025-04-07,Male,Hispanic,HR,Hired,2023-03-27
3687,2024-09-06,Female,Black,Finance,Hired,2023-12-19
3690,2025-02-27,Other,Asian,Retail Banking,Hired,2023-12-26
3699,2022-10-23,Male,Asian,HR,Hired,2023-07-09
3702,2025-04-19,Female,Asian,Operations,Hired,2024-10-30
3742,2024-10-21,Female,White,HR,Hired,2023-07-04
3745,2022-12-15,Female,Asian,Retail Banking,Hired,2025-06-13
3747,2024-04-26,Female,Other,Finance,Hired,2023-07-29
3769,2024-12-05,Female,White,Compliance,Hired,2023-01-17
3775,2024-08-16,Male,Other,Operations,Hired,2023-04-14
3778,2023-11-27,Female,Hispanic,HR,Hired,2024-01-30
3785,2024-10-14,Female,Asian,Risk,Hired,2022-12-04
3787,2024-09-26,Male,Other,Operations,Hired,2023-03-24
3789,2023-05-13,Female,Other,Finance,Hired,2023-09-29
3794,2024-11-12,Female,Hispanic,HR,Hired,2022-09-28
3813,2023-07-30,Female,Black,Compliance,Hired,2025-07-24
3816,2025-04-04,Male,White,Compliance,Hired,2023-04-15
3825,2024-03-03,Female,Asian,Finance,Hired,2025-01-24
3850,2023-05-22,Male,Black,HR,Hired,2022-10-20
3869,2024-07-20,Male,Other,HR,Hired,2024-11-06
3878,2023-03-20,Male,Other,IT,Hired,2025-02-10
3884,2024-11-23,Male,Black,Operations,Hired,2022-12-08
3888,2023-08-28,Male,Other,Finance,Hired,2024-11-01
3893,2023-09-24,Female,Black,IT,Hired,2024-03-03
3894,2022-09-23,Female,Asian,Finance,Hired,2025-05-26
3896,2023-10-31,Male,Other,HR,Hired,2022-10-12
3899,2023-08-21,Female,Hispanic,Legal,Hired,2024-09-05
3911,2023-02-12,Male,Black,Legal,Hired,2023-01-02
3918,2024-04-01,Female,Other,Retail Banking,Hired,2024-08-01
3921,2023-03-22,Female,Asian,IT,Hired,2024-11-17
3946,2025-01-28,Male,Other,Operations,Hired,2023-10-25
3948,2022-11-03,Female,White,Retail Banking,Hired,2025-07-04
3963,2025-05-11,Male,Hispanic,Operations,Hired,2025-08-12
3964,2024-05-25,Female,Hispanic,Risk,Hired,2022-10-27
3977,2024-07-21,Male,Black,HR,Hired,2025-02-08
3983,2022-09-25,Male,Asian,Risk,Hired,2025-01-30
3985,2024-08-27,Female,White,Retail Banking,Hired,2024-08-07
3988,2025-04-13,Male,Black,Compliance,Hired,2025-03-10
3998,2023-02-25,Male,Black,Retail Banking,Hired,2024-03-31
4001,2024-08-15,Male,Asian,Operations,Hired,2023-03-10
4013,2025-04-16,Other,Other,IT,Hired,2024-12-27
4015,2024-12-10,Female,Other,Operations,Hired,2023-03-06
4020,2023-02-11,Female,White,Risk,Hired,2024-08-28
4027,2024-05-15,Male,Hispanic,Finance,Hired,2025-06-19
4028,2024-10-20,Female,White,HR,Hired,2024-03-07
4031,2024-09-13,Female,Black,Legal,Hired,2023-12-25
4066,2024-05-20,Male,Hispanic,Retail Banking,Hired,2023-08-16
4067,2022-11-25,Female,Asian,Compliance,Hired,2024-10-08
4070,2024-08-06,Male,Hispanic,Retail Banking,Hired,2025-05-29
4076,2023-12-28,Female,Asian,Compliance,Hired,2024-11-04
4078,2023-01-18,Male,Asian,Compliance,Hired,2022-12-28
4086,2022-12-08,Male,Asian,Retail Banking,Hired,2025-06-11
4088,2025-08-05,Male,Hispanic,Compliance,Hired,2023-05-13
4093,2025-01-18,Female,Hispanic,HR,Hired,2025-01-12
4101,2023-12-23,Female,Black,HR,Hired,2024-04-09
4108,2025-02-19,Male,Other,IT,Hired,2022-10-07
4112,2022-12-06,Female,Other,Operations,Hired,2024-11-26
4120,2024-02-18,Male,Black,Risk,Hired,2023-11-24
4125,2024-08-28,Female,Asian,Operations,Hired,2023-04-28
4129,2025-01-18,Female,White,Finance,Hired,2023-06-04
4130,2025-04-09,Male,Black,Risk,Hired,2023-01-03
4143,2025-06-18,Male,White,HR,Hired,2024-08-13
4153,2023-04-05,Male,Asian,Operations,Hired,2025-01-20
4162,2025-05-19,Female,White,Risk,Hired,2025-01-03
4179,2023-01-31,Female,Black,Compliance,Hired,2023-10-04
4190,2024-10-29,Other,White,Risk,Hired,2023-01-18
4199,2022-11-07,Male,Asian,Operations,Hired,2024-06-10
4201,2024-06-07,Male,Asian,IT,Hired,2025-06-25
4204,2024-08-24,Male,Black,Finance,Hired,2024-09-01
4209,2024-08-01,Female,White,Operations,Hired,2024-09-12
4236,2023-06-07,Female,Asian,HR,Hired,2022-12-23
4258,2023-04-08,Female,Other,IT,Hired,2023-02-16
4264,2025-05-02,Female,Hispanic,Finance,Hired,2024-08-25
4277,2023-11-24,Female,Hispanic,Compliance,Hired,2023-01-30
